Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Î”|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-30JAN26-2000-C,-,-,,3.40254,-1.14936,2.02971,0.00012,,0.92311,-,5,80.05,0.3795,0.3809,0.3825,84.7,18
ETH-30JAN26-2000-P,707,709,,-0.57546,-1.1494,2.02978,0.00012,,-0.07689,0.0175,1305,81.72,0.0145,0.0148,0.0155,83.27,905
ETH-30JAN26-2200-C,-,1,,3.50308,-1.49616,2.74219,0.00017,,0.88434,0.3535,23,77.4,0.3245,0.3261,0.328,81.42,18
ETH-30JAN26-2200-P,1751,5727,,-0.87268,-1.49616,2.74219,0.00017,,-0.11566,0.0245,2031,78.75,0.023,0.0234,0.024,79.89,25
ETH-30JAN26-2400-C,1600,1628,,3.5064,-1.85702,3.50893,0.00023,,0.83381,0.2545,23,75.48,0.2735,0.275,0.277,78.62,18
ETH-30JAN26-2400-P,64,1092,,-1.26717,-1.85702,3.50893,0.00023,,-0.16619,0.0375,972,76.62,0.0355,0.0357,0.0365,77.52,25
ETH-30JAN26-2500-C,-,-,,3.4677,-2.03712,3.89181,0.00026,,0.80395,0.2885,23,74.93,0.25,0.2513,0.253,77.36,18
ETH-30JAN26-2500-P,1764,7883,,-1.50344,-2.03632,3.89028,0.00026,,-0.19584,0.0444,1834,75.43,0.043,0.0438,0.0445,76.65,44
ETH-30JAN26-2600-C,-,59,,3.40661,-2.20357,4.25468,0.00029,,0.77169,0.221,5,74.24,0.2275,0.2288,0.2305,76.46,18
ETH-30JAN26-2600-P,11,1036,,-1.76475,-2.20357,4.25468,0.00029,,-0.22831,0.058,1868,74.51,0.052,0.0529,0.054,75.99,1444
ETH-30JAN26-2800-C,15,25,,3.21894,-2.4891,4.88626,0.00033,,0.70077,0.173,5,73.13,0.1865,0.1878,0.1895,75.07,18
ETH-30JAN26-2800-P,7,3585,,-2.35021,-2.4891,4.88626,0.00033,,-0.29923,0.0835,1261,73.44,0.0745,0.0753,0.076,74.4,82
ETH-30JAN26-2900-C,-,8,,3.09694,-2.60301,5.13759,0.00035,,0.66303,0.174,23,73.27,0.169,0.1695,0.1705,74.19,5
ETH-30JAN26-2900-P,10,5,,-2.67111,-2.60301,5.13759,0.00035,,-0.33697,0.0925,5,73.13,0.088,0.0887,0.0895,74.05,99
ETH-30JAN26-3000-C,470,577,,2.9627,-2.68946,5.33741,0.00037,,0.62459,0.155,23,72.88,0.152,0.1524,0.1535,73.77,172
ETH-30JAN26-3000-P,2330,3509,,-3.00474,-2.68946,5.3374,0.00037,,-0.37549,0.102,820,72.65,0.1025,0.1034,0.104,73.54,80
ETH-30JAN26-3100-C,60,353,,2.81644,-2.75125,5.48313,0.00038,,0.58565,0.124,5,72.68,0.1365,0.1368,0.138,73.54,441
ETH-30JAN26-3100-P,6,780,,-3.34738,-2.7515,5.48363,0.00038,,-0.41403,0.134,5,72.4,0.1185,0.1194,0.12,73.26,19
ETH-30JAN26-3200-C,39,392,,2.66714,-2.78922,5.57583,0.00039,,0.5476,0.1255,20,72.2,0.122,0.1225,0.1235,73.05,583
ETH-30JAN26-3200-P,1000,1622,,-3.70142,-2.78835,5.57408,0.00039,,-0.45301,0.1759,5,72.14,0.136,0.1369,0.1375,72.99,23
ETH-30JAN26-3300-C,-,260,,2.50585,-2.80225,5.61164,0.00039,,0.50899,0.101,25,72.14,0.109,0.1096,0.1105,72.99,583
ETH-30JAN26-3300-P,1000,2499,,-4.05581,-2.80292,5.61298,0.00039,,-0.49069,0.1965,105,71.66,0.154,0.1557,0.156,72.79,5
ETH-30JAN26-3400-C,2,1044,,2.34704,-2.79124,5.59915,0.00039,,0.47192,0.101,5,72.17,0.0975,0.0979,0.0985,73.01,60
ETH-30JAN26-3400-P,48,1378,,-4.41352,-2.79211,5.60091,0.00039,,-0.52777,0.184,437,71.3,0.1735,0.1756,0.1765,72.99,78
ETH-30JAN26-3500-C,4,550,,2.19133,-2.76193,5.54336,0.00039,,0.43655,0.0745,20,72.1,0.087,0.0873,0.088,72.67,78
ETH-30JAN26-3500-P,-,868,,-4.77209,-2.76086,5.54122,0.00039,,-0.56376,0.1935,133,71.06,0.1945,0.1967,0.1985,73.34,175
ETH-30JAN26-3600-C,11,1865,,2.03522,-2.71401,5.44379,0.00038,,0.40227,0.0645,41,72.14,0.0775,0.0779,0.079,73.01,1781
ETH-30JAN26-3600-P,-,521,,-5.12318,-2.71525,5.44627,0.00038,,-0.59742,0.2205,130,71.04,0.2165,0.219,0.2205,73.35,18
ETH-30JAN26-3700-C,11,3367,,1.8876,-2.65123,5.3149,0.00037,,0.37025,0.0705,25,72.12,0.069,0.0694,0.0705,73.01,1580
ETH-30JAN26-3700-P,-,938,,-5.47362,-2.64978,5.31199,0.00037,,-0.63006,0.235,130,70.79,0.2395,0.2422,0.246,74.64,241
ETH-30JAN26-3800-C,52,3532,,1.74309,-2.57428,5.1538,0.00036,,0.33967,0.064,25,72.28,0.0615,0.0619,0.0625,72.89,332
ETH-30JAN26-3800-P,-,261,,-5.81553,-2.57389,5.15302,0.00036,,-0.6604,0.268,100,69.2,0.261,0.2664,0.27,74.72,100
ETH-30JAN26-3900-C,25,505,,1.60896,-2.49123,4.97635,0.00035,,0.31163,0.057,5,72.51,0.055,0.0552,0.056,73.14,1355
ETH-30JAN26-3900-P,-,488,,-6.14993,-2.48953,4.97296,0.00035,,-0.68867,0.209,100,69.21,0.286,0.2914,0.2955,75.25,100
ETH-30JAN26-4000-C,56,2808,,1.4828,-2.4016,4.78376,0.00033,,0.28561,0.051,25,72.62,0.049,0.0493,0.05,73.28,948
ETH-30JAN26-4000-P,1,919,,-6.47605,-2.39867,4.77793,0.00033,,-0.71485,0.355,100,69.07,0.3115,0.3172,0.3215,75.7,100
ETH-30JAN26-4100-C,92,769,,1.36222,-2.30392,4.57525,0.00032,,0.26114,0.041,228,72.7,0.0435,0.044,0.0445,73.39,360
ETH-30JAN26-4100-P,1,27,,-6.79422,-2.30216,4.57176,0.00032,,-0.73912,0.3675,128,-,0.276,0.3436,0.436,129.15,128
ETH-30JAN26-4200-C,63,482,,1.25299,-2.20772,4.36718,0.0003,,0.23913,0.04,25,73.02,0.039,0.0394,0.04,73.74,896
ETH-30JAN26-4200-P,-,75,,-7.10338,-2.20461,4.36103,0.0003,,-0.7613,0.309,123,-,0.3025,0.3707,0.464,131.07,123
ETH-30JAN26-4300-C,86,655,,1.14814,-2.10526,4.14769,0.00028,,0.21832,0.032,25,73.43,0.035,0.0353,0.036,74.19,981
ETH-30JAN26-4300-P,-,1075,,-7.4045,-2.10526,4.14769,0.00028,,-0.78168,0.3675,1016,68.31,0.3915,0.3983,0.404,77.9,1016
ETH-30JAN26-4400-C,28,245,,1.05666,-2.00986,3.94245,0.00027,,0.20012,0.029,5,73.77,0.0315,0.0317,0.0325,74.57,1608
ETH-30JAN26-4400-P,-,20,,-7.69751,-2.00633,3.93551,0.00027,,-0.8003,0.2155,113,-,0.3565,0.4264,0.5215,135.23,113
ETH-30JAN26-4500-C,80,315,,0.96817,-1.91043,3.72849,0.00025,,0.18286,0.025,1138,73.92,0.028,0.0286,0.029,74.76,401
ETH-30JAN26-4500-P,-,2,,-7.98219,-1.91052,3.72867,0.00025,,-0.81713,0.236,110,-,0.384,0.455,0.551,137.49,110
ETH-30JAN26-4600-C,-,1290,,0.88986,-1.81738,3.52788,0.00024,,0.16759,0.0275,1613,74.1,0.025,0.0258,0.0265,75.44,2036
ETH-30JAN26-4600-P,-,-,,-8.25947,-1.81738,3.52788,0.00024,,-0.83241,-,106,-,0.412,0.4839,0.5805,139.61,106
ETH-30JAN26-4800-C,20,1111,,0.75348,-1.64023,3.14999,0.00021,,0.14115,0.0185,1520,74.99,0.0205,0.0211,0.0215,76,450
ETH-30JAN26-4800-P,-,-,,-8.79493,-1.63812,3.14594,0.00021,,-0.85906,-,100,-,0.4695,0.5426,0.6415,144.64,100
ETH-30JAN26-5000-C,18,1505,,0.63925,-1.47751,2.803,0.00019,,0.1193,0.018,1171,76.05,0.017,0.0174,0.018,77.17,980
ETH-30JAN26-5000-P,-,-,,-9.30567,-1.47751,2.803,0.00019,,-0.8807,-,94,-,0.528,0.6023,0.703,149.52,94
ETH-30JAN26-5500-C,18,1047,,0.43569,-1.1469,2.10634,0.00013,,0.08074,0.011,312,78.6,0.011,0.0113,0.012,80.08,2015
ETH-30JAN26-5500-P,-,-,,-10.50372,-1.1469,2.10634,0.00013,,-0.91926,-,84,-,0.6725,0.7547,0.86,162.08,84
ETH-30JAN26-6000-C,10,2131,,0.30858,-0.90572,1.6087,0.0001,,0.05695,0.007,2551,80.19,0.007,0.0078,0.008,82.19,5
ETH-30JAN26-6000-P,-,-,,-11.62533,-0.90572,1.6087,0.0001,,-0.94305,-,-,-,-,0.9096,1.0205,175.03,76
ETH-30JAN26-6500-C,-,475,,0.22342,-0.71848,1.23944,0.00007,,0.0411,0.006,2072,82.88,0.005,0.0055,0.006,85.42,1251
ETH-30JAN26-6500-P,-,-,,-12.70497,-0.71848,1.23944,0.00007,,-0.9589,-,-,-,-,1.0658,1.182,187.29,70
ETH-30JAN26-7000-C,11,147,,0.17127,-0.5971,0.99624,0.00006,,0.03148,0.0039,1271,85.77,0.0038,0.0042,0.0045,88,18
ETH-30JAN26-7000-P,-,-,,-13.75161,-0.59714,0.99632,0.00006,,-0.96852,-,-,-,-,1.223,1.3455,199.74,65
ETH-30JAN26-7500-C,-,619,,0.13288,-0.49657,0.80572,0.00005,,0.0244,0.0034,400,88.18,0.0029,0.0032,0.0035,90.54,18
ETH-30JAN26-7500-P,-,-,,-14.7845,-0.49657,0.80572,0.00005,,-0.9756,-,-,-,-,1.3805,1.504,208.21,60
ETH-30JAN26-8000-C,-,1542,,0.10513,-0.41762,0.66065,0.00004,,0.01929,0.0027,400,90.1,0.0022,0.0025,0.0029,93.44,778
ETH-30JAN26-8000-P,-,-,,-15.80674,-0.41765,0.6607,0.00004,,-0.98071,-,-,-,-,1.5383,1.6685,219.71,57
